sentence,year,,,,,
206. أمريكا وفرنسا ما يسكتون إلا إذا سوّينا اللي يبونه.,2015,,,,,
 في بلدان كثيرة مشاكلهم بدأت من قرارات زي كذا.,2015,,,,,
 اللي ما لقت وظيفة تبغى تسوق؟ شلون كذا؟,2015,,,,,
 يبغى تسوق بس عشان سناب وتصوير!,2015,,,,,
 شوارعنا ما تتحمل التفحيط الوردي 😒,2015,,,,,
" نحتاج نصلح تعليمنا واقتصادنا، مو نبدأ بسواقة البنات.",2015,,,,,
" لو بنتي طلبت تسوق، والله لأرجّعها بيت أهل أمها!",2015,,,,,
"""من جدكم؟ تبون تفحطون بعد؟""",2015,,,,,
 #قيادة_المرأة ما راح توقف الحياة… بس بتغير أشياء كثير.,2015,,,,,
"208. البنت إذا ساقت اليوم، بكرا تجي تتكلم بالسياسة!",2015,,,,,
"السواقة ما تنحل بهاشتاق، تنحل بعقول ناضجة.",2015,,,,,
السواقة ما هي لعبة… والشوارع ما ترحم.,2015,,,,,
السواقة ما تسويكِ قوية… تسويكِ سايقة وبس.,2015,,,,,
"السواقة ما هي ""لايكات""… السواقة قرار يغيّر مجتمع.",2015,,,,,
"السواقة ما تجي بدون فلوس، والفلوس مو لعبة بنات.",2015,,,,,
"السواقة محتاجة نظام كامل، مو بس رخصة.",2015,,,,,
السواقة صارت زي البيبسي… تبغينها عشان الكل يشربها؟,2015,,,,,
"السواقة ما هي رجولة، ولا أنوثة، السواقة قلة حياء.",2015,,,,,
 اللي يحب بلده ما يهز استقراره بطلبات فجائية.,2015,,,,,
" المفروض نطالب بالأهم، مو نركض ورا رفاهية.",2015,,,,,
" إذا ساقت الحريم، وش ظل لنا كرجال؟",2015,,,,,
 أصلاً البنات للحين يخافون من “بارك رجعي” 😂,2015,,,,,
" بنات كثير ما يبغون يسوقون، بس يبغون الخيار.",2015,,,,,
" حتى لو سمحتوا لها تسوق، بتوقف أول مطب وتبكي.",2015,,,,,
 دور الرجل في البيت بدأ يضيع مع هالقرارات.,2015,,,,,
 شرف العائلة أغلى من مفتاح سيارة.,2015,,,,,
" صوتها عالي لأنها ما لقت حد يوقفها، مو لأنها على حق.",2015,,,,,
 قبيلتنا ما فيها بنات يسوقون… والحمد لله.,2015,,,,,
" كأب، من المستحيل أسمح لبنتي تمسك سيارة.",2015,,,,,
" لما صرت أوصل أمي، كنت أحس إني رجال بحق… اليوم تبغى تسوق لحالها!",2015,,,,,
" لو المرأة تسوق، من يعلمها تصفط؟ من جد؟!",2015,,,,,
 ما تطالب بالسواقة إلا وحدة متأثرة بمسلسلات الغرب.,2015,,,,,
" مو كرامة للبنت إنها تسوق، كرامتها إنها محفوظة.",2015,,,,,
" نطالب بسكن، بصحة، بتعليم… مو بسواقة بنات.",2015,,,,,
 يقولون قرار السماح قريب… يا ترى صح ولا إشاعة؟,2015,,,,,
"""المرأة تسوق؟ وين بنروح بالعالم؟""",2015,,,,,
"""كل هذا الضجيج عن السواقة، اركبي الباص وافتكينا!""",2015,,,,,
". عيب تقولين ""أنا من فلانة"" وإنتِ تسوقين بين الرجال.",2015,,,,,
"السواقة بداية الانحدار، احذروا يا مسلمين!",2015,,,,,
"احترمي نفسك واسم عائلتك، وخلي القيادة عنك.",2015,,,,,
"احنا في مجتمع محافظ، مو غربي.",2015,,,,,
التدرج أفضل من الصدمة… خطوة خطوة مو فجأة.,2015,,,,,
البنت تقود؟ أجل باقي نعلمها كيف تغير زيت لحالها.,2015,,,,,
408. تبين تقدير؟ بيتك وسرير طفلك أهم من أي شارع.,2015,,,,,
السواقة ما تأثر على البنت بس… تأثر على سمعة العيلة كلها.,2015,,,,,
البنت اللي تسوق تنزل من مقامها… مو ترتفع.,2015,,,,,
"السيارة ما تليق بأنوثة المرأة، خلها لراعيها.",2015,,,,,
الحين تطالب تسوق… بكرا بتقول زوجي يطبخ لي.,2015,,,,,
" لما صرت أوصل أمي، كنت أحس إني رجال بحق… اليوم تبغى تسوق لحالها!",2015,,,,,
 البنت ما تنفع تمسك الدركسون… تنفع تمسك طفلها.,2015,,,,,
"البنت إذا انشغلت بالمظاهر، ضيّعت الجوهر.",2015,,,,,
الحين تبون تعلمون بناتكم تفحيط بعد؟,2015,,,,,
البنت ما خلقت علشان تزاحم الرجال بالشوارع.,2015,,,,,
"391. إذا الشوارع ما احترمت الرجال، كيف بتحترم النساء؟",2015,,,,,
البنت تدفع تأمين؟ ولا تشغل أبوها بكل تفصيلة؟,2015,,,,,
"السواق ستر وراحة، والسيارة تعب وفضيحة",2015,,,,,
"السواقة اليوم، بكرا سفر بدون إذن، وبعده مساكنة!",2015,,,,,
السواقة بدون قوانين صارمة؟ مصيبة جاية.,2015,,,,,
"البنات للحين ما تعودوا عالسواقة، ليه نستعجل؟",2015,,,,,
البنات يتحملون المسؤولية أكثر من كثير من الشباب!,2015,,,,,
 السيارة ما تحميها… وجود رجال أهلها هو الحماية.,2015,,,,,
الزحمة بتصير مضاعفة… والضحية: سمعة المجتمع.,2015,,,,,
395. حتى الشرطة للحين ما عندها آلية لحماية السائقات!,2015,,,,,
"الشريعة واضحة، قيادة المرأة فتنة يجب إغلاق بابها.",2015,,,,,
" اللي تفرح بالسواقة، ما تدري إنها تخلّي رجال بيتها عاطلين.",2015,,,,,
الحرية ما تبدأ بالمقود… تبدأ بتمرد في الفكر والعادات.,2015,,,,,
 ما أقدر أتخيل بنتي تمسك مقود سيارة!,2015,,,,,
البنت اللي تحترم نفسها ما تحطها في مواقف مشبوهة.,2015,,,,,
"239. كل يوم تطلع وحدة وتقول ""أنا قوية""، علشان بس تسوق!",2015,,,,,
" البنت اللي تسوق، ما هي من أهل الحسب والنسب.",2015,,,,,
"البنت المحترمة ما تتفاخر إنها بتسوق، تتفاخر بحياها.",2015,,,,,
السواقة مو قرار شخصي… السواقة تشوّه الصورة العامة,2015,,,,,
"السواقة ممكن تسعدك يوم، لكن رضا أبوك يسعدك العمر كله.",2015,,,,,
"203. من يوم بدأت الحملات الخارجية، زادت مطالب البنات.",2015,,,,,
 السواقة مو استقلال… السواقة تضييع لهوية العائلة.,2015,,,,,
"407. نحتاج أم مربية، مو سائقة مشغولة بالجوال والمراية.",2015,,,,,
السواقة بتعلم البنت الجرأة… والجرأة تجيب المشاكل.,2015,,,,,
البنت القوية هي اللي تقدر تعتمد على نفسها.,2015,,,,,
السواقة ما تخليها مستقلة… تخليها تضيع بالمواقف!,2015,,,,,
399. والله أخاف على أختي أكثر مما أخاف على نفسي.,2015,,,,,
السواقة تخلّي البنت تفقد حياءها بالتدريج.,2015,,,,,
" اللي تطالب اليوم بالسواقة، بكرا تطالب بزواج بدون ولي.",2015,,,,,
"البنت اللي تمشي خلف مجتمعها تمشي بأمان، مو مثل اللي تعاند.",2015,,,,,
"السواقة مو حرية، السواقة بداية فيلم رعب اجتماعي.",2015,,,,,
السواقة مصاريف أكثر من قيمتها لبنت في بيتها.,2015,,,,,
"235. ترا مو كل من صرخت ""مساواة"" تفهم وش يعني مسؤولية.",2015,,,,,
"410. الأمة تنهض بالأمهات، مو بسائقات الشوارع.",2015,,,,,
403. المرأة مخلوقة لرسالة أعظم من القيادة.,2015,,,,,
"السواقة تحتاج أعصاب، مو كل وحدة تقدر.",2015,,,,,
"السواقة شكلها بسيط، بس نتائجها عميقة وخطيرة.",2015,,,,,
الأب الحنون ما يرضى لبنته تواجه الشارع بروحها.,2015,,,,,
السواقة بداية الانهيار البطيء… لا تستهينون فيها.,2015,,,,,
البنت اللي تحترم أهلها ما تطالب بشي يزعّلهم.,2015,,,,,
السواقة خطوة أولى لتدمير الأسرة.,2015,,,,,
الحرية المزعومة بدأت بالسواقة… وانتهت بالتمرد.,2015,,,,,
الأجانب يضغطون علينا لأننا حافظين ديننا.,2015,,,,,
"406. يوم البنت تسوق، كل التوازن يختل.",2015,,,,,
السواقة مو بس طلب… هي اختبار نوايا.,2015,,,,,
"السواقة تسحب دور الأخ، الأب، وحتى الزوج.",2015,,,,,
الأمور ما تمشي كذا… التنازلات تجيب نهايات مرعبة.,2015,,,,,
"231. خلونا من هالسواقة، البنت محتاجة تركز في دراستها مو الشارع.",2015,,,,,
"السواق يكفينا، ليه البنت تسوق؟",2015,,,,,
"343. البنت لما تسوق، تقول لأخوها: ما أحتاجك.",2015,,,,,
 قرار مثل هذا يخرب البيت قبل ما يخرب الشارع.,2015,,,,,
" الدولة أدرى، وإذا ما سمحت بالسواقة، أكيد فيه حكمة.",2015,,,,,
"البنت اللي تطالب بالسواقة، ناسيه إنها تمثل عائلتها.",2015,,,,,
" اللي تسوق تدور على زحمة، والذوق ما له مكان بالموضوع.",2015,,,,,
السواقة خطوة أولى لتدمير الأسرة.,2015,,,,,
"السواقة مو تمكين، السواقة تخريب.",2015,,,,,
"الجيران، الأقارب، المجتمع… الكل يراقب.",2015,,,,,
 القيادة مو بطاقة عضوية للتمكين… افهموا الحياة.,2015,,,,,
البنت اللي تسوق تحط نفسها في خطر ما له داعي.,2015,,,,,
"الرجال في البيت، مو بس عشان يصرف… عشان يحمي.",2015,,,,,
البنت ما تحتاج تسوق… تحتاج احترام وتقدير.,2015,,,,,
"البنت إذا طلعت لحالها بسيارة، ما عاد عندها أحد يحميها.",2015,,,,,
404. اللي تسوق بتتعب وبتعرف إن البيت أرحم.,2015,,,,,
 الاستقرار أهم من تجربة أفكار جديدة علينا.,2015,,,,,
البنت اللي تحترم وطنها تحافظ على صورته.,2015,,,,,
"البنت إذا جلست في بيت أهلها، تطلع بألف ستر.",2015,,,,,
"البنت إذا طلعت لحالها، فقدت رهبة المجتمع منها.",2015,,,,,
" القيادة قرار رجولي، مو رغبة نسوان!",2015,,,,,
"البنت إذا قادت، راحت هيبتها.",2015,,,,,
" اللي تقول ""من حقي أسوق""، تسأل نفسها أول: وش قدّمت للمجتمع؟",2015,,,,,
"377. عطونا أمان، بعدين عطوا بناتنا سيارات.",2015,,,,,
السواقة مو هدف… هي مجرد خطوة أولى لمخطط أكبر.,2015,,,,,
 متخيل بنت تعصب في الزحمة وتكسر المراية؟!,2015,,,,,
" إذا ساقوا البنات، بنحتاج تأمين ضد الصراخ 😂",2015,,,,,
" اللي تقول تبغى تسوق، تسأل نفسها: ليه؟",2015,,,,,
207. تدرون ليه يطالبون بسواقة المرأة؟ علشان يضربون استقرارنا.,2015,,,,,
 السواقة تمس شرف العايلة كلها… مو بس البنت.,2015,,,,,
الدولة ما قالت للبنات يسوقون غصب… حنا نقدر نرفض.,2015,,,,,
"التغيير اللي يجي بسرعة، يكسر كل شيء نعرفه.",2015,,,,,
"السيارة تطلع دخان، والبنت لازم تكون نقية.",2015,,,,,
"البنت اللي ترضى بحياتها البسيطة، أعظم من اللي تبي تسوق وتكسب نظرة.",2015,,,,,
"السواق ما هو كماليات، هو أمان.",2015,,,,,
"402. بدل ما تطالب تسوق، تطالب ترجع تهتم ببيتها!",2015,,,,,
"السواقة تغيّر البنت، وتكسر الحياء اللي كبرنا عليه.",2015,,,,,
202. الغرب ما همه المرأة… همه يخلينا نخسر قيمنا.,2015,,,,,
"البنت المؤدبة تقول حاضر، مو “أبغى أسوق”.",2015,,,,,
"السواقة تمرد على الفطرة، مو تحرر.",2015,,,,,
" البنات اللي يطالبون بالسواقة، فيهم تمرد على المجتمع أكثر من حرص.",2015,,,,,
" البنت لما تسوق، تقول لأخوها: ما أحتاجك.",2015,,,,,
" الحقوق تُكتسب بالعقل، مو بالصوت العالي.",2015,,,,,
 الرجال هو اللي يتحمل مشاوير أهله… مو البنت!,2015,,,,,
 السواقة ما ترفع الاقتصاد… ترفع الزحمة.,2015,,,,,
" السواقة مو خيار شخصي، هذا تغيير هوية.",2015,,,,,
" القيادة تسلب أنوثة البنت، وتقلل احترامها في العيون.",2015,,,,,
 اللي تسوق ترفع العار على ظهر أهلها.,2015,,,,,
" اللي تفرح بالسواقة، ما تدري إنها تخلّي رجال بيتها عاطلين.",2015,,,,,
 اللي ما تعرف تحترم وقت أهلها… تبغى احترام في الشارع؟,2015,,,,,
" المرأة اللي تسوق، تبدأ تنسى مكانها الطبيعي.",2015,,,,,
" إذا البنت صارت تسوق، وش بقى للرجال يسوونه لأهلهم؟",2015,,,,,
" إذا سمحت لبنتك تسوق، لا تلوم الناس إذا فقدت احترامهم.",2015,,,,,
" بدل ما نحسن الرواتب، صرنا نوزع مفاتيح سيارات!",2015,,,,,
" حتى الرجال فيهم اللي ما يستحق يسوق، فكيف بالبنت؟",2015,,,,,
 خليها تطبخ زين أول… بعدين نفكر بالسواقة.,2015,,,,,
 سواق خاص أرحم من سواقة البنات اللي يتفاخرون!,2015,,,,,
" شوارعنا ما تفرق، سواء يسوق رجال أو نساء، الكارثة واحدة.",2015,,,,,
 غضوا البصر؟ كيف إذا السائقة هي اللي تمر؟!,2015,,,,,
" قيادة المرأة تفتح باب الشر، وواجبنا سدّه.",2015,,,,,
 كل من أفتى بجواز القيادة يتحمّل وزرها.,2015,,,,,
 لن تقودي لأننا نخاف الله قبل أن نخاف من الناس.,2015,,,,,
" لو كان فيها خير، ما حرمها علماؤنا.",2015,,,,,
 من يخشى الله لا يسمح لبنته تسوق وسط الرجال.,2015,,,,,
" مو كل من لبست عباءة وصرخت ""حقوق"" تمثل المرأة السعودية.",2015,,,,,
 وش نقول لأجدادنا إذا عرفوا إن بناتنا صاروا يسوقون؟,2015,,,,,
"""الدين ما يسمح، والناس ما ترضى.""",2015,,,,,
"""حتى في الأحلام، لن تقودي!""",2015,,,,,
"""مافي سينما، ومافي قيادة، خلونا محافظين.""",2015,,,,,
 السواقة ما كانت مطلب شعبي… الإعلام الأجنبي اللي ضخّمها.,2015,,,,,
 الإعلام يبي يخلي البنت تتمرد… والسواقة أول خطوة.,2015,,,,,
" هذا مو تمكين، هذا تفكيك تدريجي للأسرة المسلمة.",2015,,,,,
" مو كل وحدة تقول ""حقوقي"" تعرف وش تبغى أصلاً.",2015,,,,,
" اللي تقول “تمكين”، تقولها من حسابها في أيفون بـ 5000 ريال.",2015,,,,,
" إذا البنت صارت تسوق، وش بقى للرجال يسوونه لأهلهم؟",2015,,,,,
" بنتي ما تهمها السيارة، تهمها حياتها تستقر.",2015,,,,,
" سواقة البنت ما تشيل عنها الدين، ولا تجيب لها بيت.",2015,,,,,
 كيف نخلي بناتنا يسوقن والمجتمع للحين ما تعلم يحترمهم؟,2015,,,,,
 السواقة تفتح باب… بس مين يسكر الباب لما تحصل مشكلة؟,2015,,,,,
"مكان المرأة مطبخها، مو شوارع المدينة.",2015,,,,,
" المرأة ما خلقها الله تلاحق الزحمة، خلقها تهدّئ بيتها.",2015,,,,,
 السيارة ما هي مجال لإثبات الذات… الطبخ والأخلاق هم.,2015,,,,,
احنا مجتمع له قيم… مو أي قرار يغيّرنا.,2015,,,,,
الأهل اللي يربون على الطاعة ما يسمعون كلمة “ليش ما أسوق؟”,2015,,,,,
"البنت اللي تحب أهلها تحافظ على سمعتهم، ما تسوق!",2015,,,,,
"البنت اللي تخاف من صرصور، تقدر تقود سيارة؟",2015,,,,,
"البنت اللي تسوق، ما تقدر تمشي مرفوعة الراس بيننا.",2015,,,,,
البنت المحترمة ما تشارك الشباب الزحمة والطريق.,2015,,,,,
البنت إذا ساقت… مين بيحاسبها على تأخيرها ومكانها؟,2015,,,,,
البنت تدفع تأمين؟ ولا تشغل أبوها بكل تفصيلة؟,2015,,,,,
البنت ما تقدر تدافع عن نفسها… فليش تخليها تواجه الشارع؟,2015,,,,,
"التنازل في السواقة، يفتح باب تنازلات ما لها نهاية.",2015,,,,,
"الحريم ما يركزون في الطبخ، تبونهم يركزون بالزحمة؟",2015,,,,,
الدين قال “درء المفاسد أولى من جلب المصالح”… فكروا فيها.,2015,,,,,
"السواق ما قصر، تبغين تسوقين بعد؟!",2015,,,,,
"السواقة اليوم، بكرا سفر بدون إذن، وبعده مساكنة!",2015,,,,,
"السواقة بداية طريق، يا تنجحين فيه برضا أهلك، يا تضيعين.",2015,,,,,
"السواقة تخلّي البنت تواجه مشاكل الرجال، ليه نخليها؟",2015,,,,,
السواقة حلم؟ أجل العمل والمساواة وش يصيرون؟,2015,,,,,
"السواقة شكلها بسيط، بس نتائجها عميقة وخطيرة.",2015,,,,,
السواقة صعبة على اللي تحط مكياج وهي تسوق.,2015,,,,,
"السواقة ما تجي بدون فلوس، والفلوس مو لعبة بنات.",2015,,,,,
"السواقة ما تحل مشكلة الفقر، بل تزيدها.",2015,,,,,
"السواقة ما ترفع من شأن المرأة، تخلّيها عرضة للذل.",2015,,,,,
السواقة ما تطعمي خبز… خلوكم بالأساسيات.,2015,,,,,
"السواقة ما حرام، لكن مجتمعنا ما يتحملها.",2015,,,,,
"السواقة ما هي تحرر، هي تقليد أعمى للغرب.",2015,,,,,
"السواقة ما هي شطارة، المرأة مو قدها.",2015,,,,,
السواقة مجرد بداية… بعدين يصير التغيير صعب نوقفه.,2015,,,,,
السواقة مسؤولية… والبنت المفروض ما تنشغل عنها.,2015,,,,,
السواقة مصاريف أكثر من قيمتها لبنت في بيتها.,2015,,,,,
السواقة مو بس حركة… هي تغيير في الروح والسلوك.,2015,,,,,
"السواقة مو بس قرار، هي شعور بالخذلان من أقرب الناس.",2015,,,,,
"السواقة مو حرية، السواقة بداية فيلم رعب اجتماعي.",2015,,,,,
"السواقة مو فرض، بس ليه المنع المطلق؟",2015,,,,,
"السواقة مو مطلب وطني، هذا ضغط خارجي بواجهة محلية.",2015,,,,,
السيارة تخلي البنت في أماكن ما كانت تدخلها من قبل.,2015,,,,,
"السيارة رجولة، ما تنفع للنعومة.",2015,,,,,
الشارع مليان ذئاب… ليه نرمي بناتنا بينهم؟,2015,,,,,
"الصبر زين، والتغيير السريع يجيب ضرر.",2015,,,,,
"الطاعة قبل الحرية، واللي تعصي اليوم بتندم بكرا.",2015,,,,,
العائلة المحترمة تحافظ على بناتها بعيد عن الشارع.,2015,,,,,
"العفيفة تفتخر إنها تُخدم، مو إنها تسوق بنفسها.",2015,,,,,
"الغرب ما يهمه حقوقكم، يهمه خراب بيوتكم.",2015,,,,,
"الغرب يضحك علينا، يخلونا نحارب أنفسنا.",2015,,,,,
الغريب إن اللي ضد القيادة أكثرهم ما عنده حجة.,2015,,,,,
الغيرة راحت؟ كيف تسمح لبنتك تسوق لحالها؟,2015,,,,,
القرار الجاي: البنات يفحطن ويفوزن بالكأس!,2015,,,,,
القرار الحقيقي هو: نشتري لها سيارة ولا لعبة؟,2015,,,,,
"القرار بيد ولي الأمر، مو بيد اللي تغرد.",2015,,,,,
القرار ما يعني شي إذا كنا نرفضه كأهالي.,2015,,,,,
القرار يفتح الباب… لكن السؤال: مين يستاهل يدخل؟,2015,,,,,
"القرارات تجي فجأة، والتغيير قاعد يهز الأساس.",2015,,,,,
"القيادة حق، مو مكرمة!",2015,,,,,
"القيادة مسؤولية، مو إثبات وجود.",2015,,,,,
اللي تبغى تسوق عشان الحرية… ما تعرف معنى الحرية.,2015,,,,,
"اللي تبغى تسوق، للأسف نسيت معنى الوقار.",2015,,,,,
"اللي تبغى سيارة، خليها تمسك دفتر توفير أول",2015,,,,,
"اللي تبي تسوق تنسى إن المسؤولية مو بس مقود، مسؤولية قرار!",2015,,,,,
اللي تبي تسوق لازم تكون تحت رقابة مشددة.,2015,,,,,
اللي تبي تسوق ما تفكر في سمعة أهلها.,2015,,,,,
"اللي تبي تسوق، باختصار: ما تفهم معنى العيب.",2015,,,,,
"اللي تتبع تعليمات ولي أمرها، ما تفكر بالسواقة.",2015,,,,,
اللي تتكلم عن السواقة من حساب وهمي… ما عندها حتى شجاعة الرأي.,2015,,,,,
اللي تحب بلدها ما تطلب تغيير يخالف ثقافتنا.,2015,,,,,
"اللي تحترم نفسها، ما تطلب شيء ينزلها قدام الناس.",2015,,,,,
اللي تربت على القيم ما تحتاج سواقة.,2015,,,,,
اللي تربيّت عليه غير اللي تقولونه اليوم.,2015,,,,,
"اللي ترضى تسوق، ترضى تنكشف.",2015,,,,,
"اللي تسمع أصوات النسويات، ما تسمع صوت عقلها.",2015,,,,,
اللي تسوق بتبدأ تتعامل مع رجال بشكل عادي… وهذا خطير.,2015,,,,,
"اللي تسوق برضا أبوها شيء، واللي تسوق غصب شيء ثاني.",2015,,,,,
اللي تسوق وش تبي تثبت؟ إنها ما تحتاج أحد؟,2015,,,,,
"اللي تسوق، تتعوّد ترد على الغريب، وتسولف، وتبرر.",2015,,,,,
"اللي تطالب بالسواقة، تبدأ تسأل ليه وليي يتحكم فيني.",2015,,,,,
"اللي تقول تبغى تستقل، اسألوها متى آخر مرة دفعت فاتورة.",2015,,,,,
"اللي تقول ما أقدر أسوق، تتكلمي عن نفسك مو عنا.",2015,,,,,
"اللي رضيت بدورها في بيتها، أعظم من اللي ركضت وراء دور في الشارع.",2015,,,,,
"اللي كل يوم ترند عن السواقة، ليه ما تسأل نفسها وش تغيّرت فيه فعلاً؟",2015,,,,,
"اللي ما تعرف تشتري موية وهي في السيارة، تبي تسوق؟",2015,,,,,
"اللي ما معها مصروف للجامعة، تبي تصرف على البنزين؟",2015,,,,,
"اللي ما معها مصروف للجامعة، تبي تصرف على البنزين؟",2015,,,,,
اللي نشوفه مو مطالب حقوق… هذا تحدّي لأهلهم.,2015,,,,,
"اللي يبغى بنته تسوق، ما عنده غيرة.",2015,,,,,
"اللي يتنازل في أول مبدأ، يتنازل عن كل شي.",2015,,,,,
"اللي يسمح لبنته تسوق، يراجع غيرته أول.",2015,,,,,
"اللي يسوق بنته اليوم، يفتح باب الانحلال بكرا.",2015,,,,,
اللي يطالب بالسواقة ما يعرف مصلحة البلد.,2015,,,,,
اللي يطالب بالسواقة نسى إن حنا عندنا هوية ما تشبه أحد.,2015,,,,,
"اللي يطالبون بالسواقة، غالبًا ما يعرفون حتى يغيرون كفر.",2015,,,,,
"اللي يقول ""حرية""، بكرا يقول ""لا ولاية""، وبعدين ""لا أهل"".",2015,,,,,
اللي يقول “ما في نص يمنع السواقة” ما فهم روح الشريعة.,2015,,,,,
"اللي يقولون ""بس قيادة""، ما يعرفون كيف يبدأ الانفلات.",2015,,,,,
"المجتمع المحافظ يرفض الانحلال تحت اسم ""حقوق"".",2015,,,,,
"المجتمع ما يتحمل هالقرار، والنتيجة على الكل.",2015,,,,,
"المجتمع مو جاهز، وقبولكم ما يعني تقبّلنا.",2015,,,,,
"المجتمع هش، وأي فتحة صغيرة تهدمه.",2015,,,,,
"المرأة اللي تفتخر بحشمتها، ما تحتاج إثبات بقيادتها.",2015,,,,,
"المرأة تاج على الراس، مو سايقة تاكسي.",2015,,,,,
المرأة تقود؟ على جثتي!,2015,,,,,
المرأة خلف المقود = كارثة قادمة.,2015,,,,,
المرأة لو ساقت بتتغير أشياء كثيرة للأسوأ.,2015,,,,,
